,name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
1258,Colombia,COL,COP,10900.0,2844.12,6577.287,19411356.581,2018-01-01
1259,India,IND,INR,178.0,64.5575,1714.28,114980.219,2017-07-01
1260,Brazil,BRA,BRL,16.5,3.2279,10419.575,33252.857,2018-01-01
1261,Switzerland,CHE,CHF,6.5,0.96825,84474.293,83942.879,2020-01-14
1262,Russia,RUS,RUB,137.0,60.1369,8731.195,583712.971,2017-07-01
1263,Taiwan,TWN,TWD,69.0,30.803,25825.566,778967.95,2019-01-01
1264,Germany,DEU,EUR,3.79,0.955246692,42124.196,38066.406,2017-01-01
1265,Portugal,PRT,EUR,3.45,0.879623521,23333.317,20840.798,2020-07-01
1266,Brazil,BRA,BRL,21.9,5.5046,7344.529,37862.763,2021-01-01
1267,Czech Republic,CZE,CZK,89.0,23.4134,23616.011,541568.266,2020-07-01
1268,Pakistan,PAK,PKR,550.0,166.5,1500.683,204713.255,2020-07-01
1269,Singapore,SGP,SGD,5.6,1.43875,56899.903,78609.854,2017-01-01
1270,Belgium,BEL,EUR,4.2,0.892339267,47685.347,40360.346,2019-07-09
1271,Saudi Arabia,SAU,SAR,12.0,3.7505,22453.563,84200.86,2016-07-01
1272,Czech Republic,CZE,CZK,85.0,22.31165,23380.772,508062.217,2019-01-01
1273,Hong Kong,HKG,HKD,20.5,7.75095,48277.982,378302.241,2020-07-01
1274,Czech Republic,CZE,CZK,89.0,21.5909,22984.459,533475.048,2021-01-01
1275,South Africa,ZAF,ZAR,30.0,14.27375,6256.667,79787.626,2016-07-01
1276,Chile,CHL,CLP,2640.0,689.75,15755.003,10102435.897,2019-07-09
1277,Egypt,EGY,EGP,31.37,17.885,3862.011,31471.429,2017-07-01
1278,New Zealand,NZL,NZD,6.1,1.376273053,39415.045,56552.528,2017-07-01
1279,South Africa,ZAF,ZAR,30.0,13.27,5750.785,84611.303,2017-07-01
1280,China,CHN,CNY,21.5,6.885,10170.061,70259.02,2020-01-14
1281,Turkey,TUR,TRY,12.99,5.88025,9145.817,51924.837,2020-01-14
1282,Austria,AUT,EUR,3.4,0.875695083,45278.829,40917.155,2017-07-01
1283,Australia,AUS,AUD,6.05,1.339853956,55842.751,72828.252,2018-07-01
1284,Germany,DEU,EUR,4.12,0.872486149,47961.181,40593.809,2019-01-01
1285,Poland,POL,PLN,10.5,3.74845,15504.366,55995.05,2019-01-01
1286,Peru,PER,PEN,10.5,3.2868,7187.688,23626.83,2019-07-09
1287,Ukraine,UKR,UAH,54.0,27.8,3118.908,84809.211,2019-01-01
1288,Belgium,BEL,EUR,4.35,0.879623521,46783.103,41785.623,2020-07-01
1289,United States,USA,USD,4.82,1.0,65504.783,65504.783,2020-07-01
1290,China,CHN,CNY,22.4,6.4751,10525.001,72630.397,2021-01-01
1291,Costa Rica,CRI,CRC,2290.0,572.495,11986.918,6529710.506,2017-07-01
1292,Japan,JPN,JPY,380.0,110.725,38903.298,4363632.777,2018-01-01
1293,Venezuela,VEN,VEF,0.0,0.0,3806.656,,2018-01-01
1294,Euro area,EUZ,EUR,4.04,0.853205921,37498.4987117024,33205.5921879761,2018-07-01
1295,India,IND,INR,173.0,68.825,1957.97,126200.668,2018-07-01
1296,South Africa,ZAF,ZAR,31.0,13.3619,6678.292,88938.159,2018-07-01
